U:0,U:1,U:2,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,Points:0,Points:1,Points:2,Point ID
0.35945,3.50113e-05,0,9.67875,0.0375555,0,0.09675,-9.67785,0,0,0,0,0.00308,0.001,0,154
0.359643,3.57637e-05,0,9.4425,0.0377287,0,0.10125,-9.43996,0,0,0,0,0.0031,0.001,0,155
0.359828,3.65205e-05,0,9.21075,0.0378165,0,0.10575,-9.20619,0,0,0,0,0.00312,0.001,0,156
0.36001,3.72778e-05,0,8.979,0.0378726,0,0.1095,-8.9738,0,0,0,0,0.00314,0.001,0,157
0.360187,3.8036e-05,0,8.74725,0.0378654,0,0.11175,-8.74414,0,0,0,0,0.00316,0.001,0,158
0.360359,3.87929e-05,0,8.517,0.0377882,0,0.114,-8.51722,0,0,0,0,0.00318,0.001,0,159
0.250266,4.4698e-08,0,8.322,0.000785017,0,0,-8.41143,0,0,0,0,6e-05,0.001,0,3
0.360529,3.95492e-05,0,8.2875,0.037676,0,0.11625,-8.29168,0,0,0,0,0.0032,0.001,0,160
0.360691,4.03e-05,0,8.067,0.0374533,0,0.12075,-8.07026,0,0,0,0,0.00322,0.001,0,161
0.360851,4.10476e-05,0,7.848,0.0371919,0,0.12525,-7.85023,0,0,0,0,0.00324,0.001,0,162
0.361005,4.1789e-05,0,7.632,0.0368532,0,0.12975,-7.63298,0,0,0,0,0.00326,0.001,0,163
0.361155,4.25216e-05,0,7.4175,0.0364336,0,0.13275,-7.41856,0,0,0,0,0.00328,0.001,0,164
0.361303,4.32498e-05,0,7.20375,0.0359735,0,0.135,-7.20555,0,0,0,0,0.0033,0.001,0,165
0.361444,4.39606e-05,0,6.9945,0.0353819,0,0.13725,-6.99684,0,0,0,0,0.00332,0.001,0,166
0.361582,4.4664e-05,0,6.7875,0.0347457,0,0.141,-6.78959,0,0,0,0,0.00334,0.001,0,167
0.361715,4.53527e-05,0,6.585,0.0340203,0,0.14775,-6.58526,0,0,0,0,0.00336,0.001,0,168
0.361845,4.60239e-05,0,6.3855,0.0332077,0,0.156,-6.38392,0,0,0,0,0.00338,0.001,0,169
0.361972,4.66863e-05,0,6.1875,0.0323515,0,0.165,-6.18408,0,0,0,0,0.0034,0.001,0,170
0.362092,4.7318e-05,0,5.99175,0.0313614,0,0.1695,-5.98883,0,0,0,0,0.00342,0.001,0,171
0.36221,4.79379e-05,0,5.7975,0.0303254,0,0.17325,-5.79516,0,0,0,0,0.00344,0.001,0,172
0.362325,4.85343e-05,0,5.60625,0.0291979,0,0.1755,-5.60462,0,0,0,0,0.00346,0.001,0,173
0.25013,2.95495e-08,0,5.5905,0.000755048,0,0,-5.60123,0,0,0,0,4e-05,0.001,0,2
0.362434,4.9104e-05,0,5.418,0.0279801,0,0.18075,-5.41729,0,0,0,0,0.00348,0.001,0,174
0.362542,4.96605e-05,0,5.23125,0.0267173,0,0.1875,-5.23157,0,0,0,0,0.0035,0.001,0,175
